0_x_top,0_x_bottom,0_y_top,0_y_bottom,504_x_top,504_x_bottom,504_y_top,504_y_bottom,1038_x_top,1038_x_bottom,1038_y_top,1038_y_bottom,1743_x_top,1743_x_bottom,1743_y_top,1743_y_bottom
 -1.0000, -1.0000, -7.0588, -7.0588, -1.0000, -1.0000, -8.8979, -8.8979, -1.0000, -1.0000, -9.5312, -9.5312, -1.0000, -1.0000,-18.2799,-18.2799
 -0.9500, -0.9500, -6.3352, -6.8226, -0.9500, -0.9500, -7.8134, -8.6336, -0.9500, -0.9500, -8.2729, -9.2126, -0.9500, -0.9500,-13.9685,-17.1098
 -0.9000, -0.9000, -5.6541, -6.6657, -0.9000, -0.9000, -6.8449, -8.5287, -0.9000, -0.9000, -7.1333, -9.0748, -0.9000, -0.9000,-10.5414,-16.3350
 -0.8501, -0.8501, -5.0069, -6.5161, -0.8501, -0.8501, -5.9278, -8.4167, -0.8501, -0.8501, -6.0437, -8.9399, -0.8501, -0.8501, -7.6075,-15.6426
 -0.8001, -0.8001, -4.3831, -6.3722, -0.8001, -0.8001, -5.0289, -8.2984, -0.8001, -0.8001, -4.9877, -8.8024, -0.8001, -0.8001, -5.0125,-15.0574
 -0.7502, -0.7502, -3.7718, -6.2291, -0.7502, -0.7502, -4.1437, -8.1678, -0.7502, -0.7502, -3.9723, -8.6564, -0.7502, -0.7502, -2.6747,-14.5894
 -0.7002, -0.7002, -3.1703, -6.0884, -0.7002, -0.7002, -3.2841, -8.0264, -0.7002, -0.7002, -3.0043, -8.4999, -0.7002, -0.7002, -0.5814,-14.2439
 -0.6502, -0.6502, -2.5823, -5.9481, -0.6502, -0.6502, -2.4567, -7.8731, -0.6502, -0.6502, -2.0822, -8.3313, -0.6502, -0.6502,  1.2673,-13.9983
 -0.6003, -0.6003, -2.0131, -5.8065, -0.6003, -0.6003, -1.6608, -7.7102, -0.6003, -0.6003, -1.1991, -8.1516, -0.6003, -0.6003,  2.8902,-13.7972
 -0.5503, -0.5503, -1.4654, -5.6638, -0.5503, -0.5503, -0.8975, -7.5416, -0.5503, -0.5503, -0.3538, -7.9673, -0.5503, -0.5503,  4.2861,-13.5892
 -0.5003, -0.5003, -0.9383, -5.5151, -0.5003, -0.5003, -0.1616, -7.3674, -0.5003, -0.5003,  0.4586, -7.7809, -0.5003, -0.5003,  5.4566,-13.3178
 -0.4504, -0.4504, -0.4302, -5.3587, -0.4504, -0.4504,  0.5447, -7.1862, -0.4504, -0.4504,  1.2362, -7.5995, -0.4504, -0.4504,  6.4186,-12.9532
 -0.4004, -0.4004,  0.0604, -5.1913, -0.4004, -0.4004,  1.2232, -7.0006, -0.4004, -0.4004,  1.9795, -7.4286, -0.4004, -0.4004,  7.2117,-12.4804
 -0.3504, -0.3504,  0.5376, -5.0087, -0.3504, -0.3504,  1.8695, -6.8202, -0.3504, -0.3504,  2.6862, -7.2696, -0.3504, -0.3504,  7.8829,-11.9085
 -0.3004, -0.3004,  0.9969, -4.8195, -0.3004, -0.3004,  2.4906, -6.6599, -0.3004, -0.3004,  3.3612, -7.1295, -0.3004, -0.3004,  8.4670,-11.2862
 -0.2504, -0.2504,  1.4450, -4.6179, -0.2504, -0.2504,  3.0948, -6.5261, -0.2504, -0.2504,  4.0125, -7.0131, -0.2504, -0.2504,  9.0158,-10.6641
 -0.2004, -0.2004,  1.8836, -4.4073, -0.2004, -0.2004,  3.6866, -6.4159, -0.2004, -0.2004,  4.6440, -6.9291, -0.2004, -0.2004,  9.5401,-10.1054
 -0.1505, -0.1505,  2.3180, -4.1874, -0.1505, -0.1505,  4.2669, -6.3172, -0.1505, -0.1505,  5.2589, -6.8811, -0.1505, -0.1505, 10.0668, -9.6518
 -0.1005, -0.1005,  2.7504, -3.9565, -0.1005, -0.1005,  4.8323, -6.2191, -0.1005, -0.1005,  5.8592, -6.8611, -0.1005, -0.1005, 10.5446, -9.3191
 -0.0505, -0.0505,  3.1719, -3.7063, -0.0505, -0.0505,  5.3688, -6.1107, -0.0505, -0.0505,  6.4211, -6.8454, -0.0505, -0.0505, 10.9476, -9.0739
 -0.0006, -0.0006,  3.5489, -3.4360, -0.0006, -0.0006,  5.8578, -5.9835, -0.0006, -0.0006,  6.9427, -6.8170, -0.0006, -0.0006, 11.2405, -8.8855
  0.0494,  0.0494,  3.8673, -3.1453,  0.0494,  0.0494,  6.2881, -5.8282,  0.0494,  0.0494,  7.3968, -6.7656,  0.0494,  0.0494, 11.4016, -8.7316
  0.0993,  0.0993,  4.1588, -2.8297,  0.0993,  0.0993,  6.7036, -5.6310,  0.0993,  0.0993,  7.8007, -6.6699,  0.0993,  0.0993, 11.4639, -8.5830
  0.1493,  0.1493,  4.4423, -2.4896,  0.1493,  0.1493,  7.1049, -5.3871,  0.1493,  0.1493,  8.1722, -6.5170,  0.1493,  0.1493, 11.4675, -8.4302
  0.1993,  0.1993,  4.7227, -2.1241,  0.1993,  0.1993,  7.4801, -5.0770,  0.1993,  0.1993,  8.4981, -6.2891,  0.1993,  0.1993, 11.4818, -8.2435
  0.2493,  0.2493,  4.9942, -1.7337,  0.2493,  0.2493,  7.8081, -4.7113,  0.2493,  0.2493,  8.7583, -5.9794,  0.2493,  0.2493, 11.5338, -8.0110
  0.2993,  0.2993,  5.2517, -1.3177,  0.2993,  0.2993,  8.0663, -4.2820,  0.2993,  0.2993,  8.9404, -5.5797,  0.2993,  0.2993, 11.6251, -7.7262
  0.3493,  0.3493,  5.4900, -0.8735,  0.3493,  0.3493,  8.2488, -3.7842,  0.3493,  0.3493,  9.0620, -5.0829,  0.3493,  0.3493, 11.7499, -7.3760
  0.3992,  0.3992,  5.7007, -0.4014,  0.3992,  0.3992,  8.3779, -3.2190,  0.3992,  0.3992,  9.1602, -4.4974,  0.3992,  0.3992, 11.8918, -6.9632
  0.4492,  0.4492,  5.8881,  0.1049,  0.4492,  0.4492,  8.4944, -2.5787,  0.4492,  0.4492,  9.2743, -3.8097,  0.4492,  0.4492, 12.0781, -6.4510
  0.4992,  0.4992,  6.0460,  0.6385,  0.4992,  0.4992,  8.6202, -1.8600,  0.4992,  0.4992,  9.4127, -3.0345,  0.4992,  0.4992, 12.3035, -5.8213
  0.5491,  0.5491,  6.1790,  1.2003,  0.5491,  0.5491,  8.7645, -1.0624,  0.5491,  0.5491,  9.5750, -2.1591,  0.5491,  0.5491, 12.5864, -5.0351
  0.5991,  0.5991,  6.2938,  1.7890,  0.5991,  0.5991,  8.9265, -0.1804,  0.5991,  0.5991,  9.7539, -1.1663,  0.5991,  0.5991, 12.9444, -4.0405
  0.6491,  0.6491,  6.4034,  2.4062,  0.6491,  0.6491,  9.1060,  0.7974,  0.6491,  0.6491,  9.9497, -0.0483,  0.6491,  0.6491, 13.4218, -2.7363
  0.6990,  0.6990,  6.5168,  3.0509,  0.6990,  0.6990,  9.2996,  1.8753,  0.6990,  0.6990, 10.1598,  1.1991,  0.6990,  0.6990, 14.0452, -1.0173
  0.7490,  0.7490,  6.6424,  3.7204,  0.7490,  0.7490,  9.5069,  3.0567,  0.7490,  0.7490, 10.3839,  2.5807,  0.7490,  0.7490, 14.8366,  1.2155
  0.7990,  0.7990,  6.7848,  4.4137,  0.7990,  0.7990,  9.7334,  4.3495,  0.7990,  0.7990, 10.6304,  4.1053,  0.7990,  0.7990, 15.8324,  4.0476
  0.8489,  0.8489,  6.9452,  5.1302,  0.8489,  0.8489,  9.9800,  5.7589,  0.8489,  0.8489, 10.9020,  5.7788,  0.8489,  0.8489, 17.0464,  7.5029
  0.8989,  0.8989,  7.1270,  5.8794,  0.8989,  0.8989, 10.2562,  7.3036,  0.8989,  0.8989, 11.2164,  7.6268,  0.8989,  0.8989, 18.5338, 11.6243
  0.9489,  0.9489,  7.3310,  6.6765,  0.9489,  0.9489, 10.5689,  9.0050,  0.9489,  0.9489, 11.5841,  9.6795,  0.9489,  0.9489, 20.3141, 16.4831
  0.9989,  0.9989,  7.5596,  7.5596,  0.9989,  0.9989, 10.9281, 10.9281,  0.9989,  0.9989, 12.0197, 12.0197,  0.9989,  0.9989, 22.3945, 22.3945
